,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
0,1000016,2НДФЛ,Ремонт,1.0,0.26,мужской,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,18.0,25.0,Транспорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000036,Форма банка (без печати работодателя),Обучение,1.0,0.45,мужской,1,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,< 50,0.0,61.0,43.0,Торговля,ООО,холост / не замужем,2.0,1.0,0.0,0.0,0.0,0.1728395062,1.0,2.0,1.0,0.0,0.5833333333,8.0,4.0,268.0,12.0,6.0,0.0,2.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1000056,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.23,мужской,0,0,высшее,специалист,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000076,Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,1.0,0.56,мужской,2,0,второе высшее,вспомогательный персонал,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000096,2НДФЛ,Ремонт,0.0,0.25,мужской,1,0,высшее,менеджер среднего звена,>250,3.0,132.0,37.0,Государственная служба,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000116,Поступление зарплаты на счет,Отпуск,1.0,0.28,мужской,1,0,среднее-специальное,рабочий,>250,0.0,9.0,32.0,Другое,ОАО,женат / замужем,4.0,4.0,1.0,1.0,0.0,0.1111111111,0.0,1.0,0.0,0.0,0.2,1.0,4.0,48.0,5.0,1.0,0.0,4.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1000136,Форма банка (без печати работодателя),Обучение,0.0,0.26,женский,1,0,высшее,менеджер высшего звена,< 50,0.0,87.0,46.0,Торговля,ООО,холост / не замужем,5.0,5.0,3.0,3.0,3.0,0.0416666667,1.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,3.0,0.0,1.0,33.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1000156,Форма банка (без печати работодателя),Другое,0.0,0.11,мужской,0,0,высшее,менеджер среднего звена,>=150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000176,Форма банка (без печати работодателя),Ремонт,1.0,0.59,мужской,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,90.0,44.0,Другое,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,35.0,3.0,2.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1000196,Поступление зарплаты на счет,Ремонт,0.0,0.4,женский,0,0,высшее,торговый представитель,>250,0.0,12.0,26.0,Торговля,Иная форма,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666667,2.0,1.0,15.0,3.0,1.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
