target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,56245,0,0,,,50.567123288,2.1315068493,,,5.5369863014,10
0,OTHER,elementary,Corporate,119510,0,1,1,1.1155689964,28.191780822,2.0328767123,1,1,8.1095890411,11
0,2NDFL,advanced,,12020,0,0,1,0.3037858423,36.437742346,17.731506849,0,0,9.1235346957,13
0,OTHER,advanced,Corporate,21611,0,1,,,33.333445617,1.711527809,,,7.9726775956,15
0,OTHER,elementary,VIP,146841,0,1,0,30.530913978,36.531072685,0.5776480275,0,0,7.737704918,17
0,OTHER,elementary,,50000,0,0,,,32.120547945,4.7436035631,,,1.5534246575,18
0,OTHER,elementary,Corporate,102915,0,1,2,1.174484767,54.064218879,1.4587394266,0,0,8.8888764129,21
0,OTHER,elementary,Corporate,39713,0,1,0,1362.5046819,25.326611273,0.8484691968,1,1,5.2145894154,28
0,2NDFL,high,,27697,0,0,0,1.5057123656,26.873972603,3.5835616438,0,0,6.5726027397,39
0,OTHER,advanced,Corporate,25448,0,1,,,55.428961749,7.6612021858,,,9.922853507,42
0,OTHER,advanced,Corporate,56194,0,1,0,0.4431003584,30.257534247,0.4898270829,0,0,8.7821768096,45
0,OTHER,advanced,Corporate,56194,0,1,0,0.4431003584,30.257534247,0.4898270829,0,0,8.7821768096,46
0,OTHER,elementary,Corporate,102207,0,0,1,0.0489023297,34.24109589,8.8737405494,2,2,10.282191781,50
0,OTHER,elementary,Corporate,78017,0,1,0,,26.497986376,3.5683060109,0,0,3.5273224044,51
0,2NDFL,elementary,,,0,1,,,25.901369863,1.173291414,,,5.8684931507,53
0,OTHER,beginner,Corporate,83623,0,1,1,0.2176299283,28.965596227,3.7158469945,0,0,8.4207650273,56
0,2NDFL,elementary,,34319,0,0,,,38.950684932,4.9191930534,,,11.019178082,57
0,2NDFL,elementary,,147900,0,0,,,37.890410959,8.0602739726,,,12.287671233,59
